Primary,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
HUSTHWAITE 33/11KV,90,122,153,217,306,415,471,507,542,577,613,648,686,756,1042,1330,1612,1887,2136,2362,2572,2837,3124,3412,3701,3991,4281,4571,4806,NPgN,Primary,NPg Best View,Number of heat pumps (total)
JARROW,38,46,60,91,134,185,214,233,252,271,290,309,329,366,507,652,795,933,1060,1175,1282,1413,1553,1694,1835,1975,2115,2255,2363,NPgN,Primary,NPg Best View,Number of heat pumps (total)
KENTON,184,236,313,474,687,936,1080,1181,1284,1386,1489,1590,1696,1842,2348,2866,3370,3856,4282,4661,5008,5464,5964,6465,6966,7466,7965,8463,8845,NPgN,Primary,NPg Best View,Number of heat pumps (total)
KIELDER,9,10,13,18,25,35,40,42,45,47,49,51,53,60,88,116,144,171,194,215,234,258,284,311,337,363,389,415,436,NPgN,Primary,NPg Best View,Number of heat pumps (total)
KILLINGWORTH,119,140,182,281,421,589,672,722,771,820,870,919,970,1084,1531,1991,2445,2885,3281,3639,3972,4390,4843,5298,5752,6206,6660,7113,7460,NPgN,Primary,NPg Best View,Number of heat pumps (total)
KIRBYMOORSIDE,91,113,147,218,315,432,496,537,578,620,661,702,745,812,1081,1356,1624,1884,2114,2320,2510,2753,3020,3287,3554,3820,4086,4352,4563,NPgN,Primary,NPg Best View,Number of heat pumps (total)
LEAM CENTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg Best View,Number of heat pumps (total)
LINTON 66/20KV,96,110,140,213,314,432,490,521,552,583,615,645,678,743,1017,1302,1582,1851,2086,2294,2485,2739,3019,3300,3581,3861,4141,4420,4635,NPgN,Primary,NPg Best View,Number of heat pumps (total)
LONGBENTON,240,279,361,553,816,1123,1276,1358,1438,1520,1602,1683,1768,1912,2484,3084,3670,4228,4697,5098,5460,5979,6570,7164,7758,8350,8942,9533,9985,NPgN,Primary,NPg Best View,Number of heat pumps (total)
LOW SPENNYMOOR,163,185,231,352,523,725,819,871,923,974,1027,1078,1132,1227,1612,2017,2416,2799,3122,3397,3645,4001,4401,4803,5204,5605,6005,6405,6712,NPgN,Primary,NPg Best View,Number of heat pumps (total)
LYNEMOUTH,40,44,52,77,111,149,167,175,182,189,197,204,212,226,292,364,433,499,552,596,635,695,766,837,908,978,1049,1119,1173,NPgN,Primary,NPg Best View,Number of heat pumps (total)
MADDISON STREET,418,455,552,809,1165,1577,1783,1883,1980,2078,2176,2274,2375,2539,3238,3998,4739,5439,6004,6475,6896,7524,8262,9002,9742,10481,11217,11952,12514,NPgN,Primary,NPg Best View,Number of heat pumps (total)
MALLEABLE,167,205,277,396,543,716,828,915,1001,1086,1171,1253,1336,1448,1820,2199,2564,2903,3204,3480,3736,4057,4406,4757,5109,5461,5814,6168,6454,NPgN,Primary,NPg Best View,Number of heat pumps (total)
MALTON,82,128,191,293,414,556,666,763,860,959,1057,1154,1256,1405,1957,2502,3041,3573,4087,4586,5071,5591,6127,6663,7199,7734,8269,8803,9227,NPgN,Primary,NPg Best View,Number of heat pumps (total)
MEADOWFIELD,66,81,111,169,247,338,385,413,441,469,497,524,553,603,803,1008,1208,1398,1564,1713,1850,2032,2234,2437,2639,2842,3044,3246,3404,NPgN,Primary,NPg Best View,Number of heat pumps (total)
MELROSEGATE 33/11KV,67,90,131,211,321,454,520,565,609,653,698,742,788,880,1221,1562,1897,2220,2513,2778,3022,3334,3668,4002,4337,4671,5004,5337,5593,NPgN,Primary,NPg Best View,Number of heat pumps (total)
MILLBANK LANE,73,109,169,285,442,635,742,825,909,994,1079,1163,1251,1409,1983,2556,3123,3681,4205,4691,5147,5689,6260,6831,7403,7975,8546,9117,9558,NPgN,Primary,NPg Best View,Number of heat pumps (total)
MONKSEATON,280,325,419,627,904,1221,1386,1479,1572,1665,1758,1850,1945,2140,2932,3755,4562,5335,6015,6632,7214,7952,8763,9577,10391,11204,12016,12827,13453,NPgN,Primary,NPg Best View,Number of heat pumps (total)
MOOR MONKTON PUMPS,14,22,28,40,55,73,83,88,94,99,105,110,116,126,163,199,234,268,297,322,346,379,416,453,489,526,563,600,629,NPgN,Primary,NPg Best View,Number of heat pumps (total)
MORPETH,69,105,162,266,408,583,676,746,815,885,955,1024,1096,1240,1786,2326,2859,3381,3870,4324,4748,5256,5788,6322,6854,7386,7917,8448,8860,NPgN,Primary,NPg Best View,Number of heat pumps (total)
MOUNT ROAD,183,222,292,448,669,938,1063,1130,1195,1261,1328,1394,1463,1622,2251,2892,3518,4120,4647,5111,5530,6094,6716,7339,7962,8584,9204,9823,10301,NPgN,Primary,NPg Best View,Number of heat pumps (total)
NEWBURN HAUGH,24,43,71,117,169,229,279,327,376,426,475,524,574,643,879,1112,1344,1574,1800,2021,2238,2466,2697,2928,3160,3391,3621,3852,4031,NPgN,Primary,NPg Best View,Number of heat pumps (total)
NEWBY,32,58,97,170,269,391,462,519,576,635,693,751,812,946,1440,1928,2413,2893,3354,3791,4208,4678,5162,5646,6131,6615,7098,7581,7950,NPgN,Primary,NPg Best View,Number of heat pumps (total)
NEWCASTLE AIRPORT,67,105,142,216,313,428,499,558,617,677,737,796,858,947,1264,1578,1890,2197,2485,2751,3004,3302,3615,3928,4241,4554,4866,5179,5419,NPgN,Primary,NPg Best View,Number of heat pumps (total)
NEWTON AYCLIFFE SOUTH,49,63,87,136,201,277,316,341,365,390,414,438,463,506,658,813,962,1103,1225,1332,1428,1562,1711,1860,2009,2157,2306,2454,2568,NPgN,Primary,NPg Best View,Number of heat pumps (total)
NORTH STREET,49,67,94,140,203,285,334,373,412,451,490,529,569,666,1058,1447,1832,2213,2579,2929,3264,3632,4009,4386,4763,5139,5514,5889,6185,NPgN,Primary,NPg Best View,Number of heat pumps (total)
NORTH TEES T1 T2,45,53,67,90,122,165,190,209,228,246,264,282,300,329,466,603,739,871,993,1108,1214,1338,1469,1601,1734,1866,1999,2132,2249,NPgN,Primary,NPg Best View,Number of heat pumps (total)
NORTH TEES T3 T4,85,110,148,228,338,470,538,583,628,674,720,765,813,889,1197,1509,1815,2114,2380,2619,2839,3126,3437,3749,4062,4376,4690,5004,5258,NPgN,Primary,NPg Best View,Number of heat pumps (total)
NORTHALLERTON,91,141,205,318,469,657,771,854,937,1021,1106,1190,1278,1401,1804,2201,2585,2959,3294,3596,3866,4213,4593,4976,5360,5744,6129,6514,6828,NPgN,Primary,NPg Best View,Number of heat pumps (total)
NORTON 132/11KV,458,618,843,1262,1806,2454,2870,3158,3444,3734,4024,4311,4607,5002,6189,7392,8538,9632,10573,11401,12136,13112,14223,15338,16452,17564,18674,19780,20632,NPgN,Primary,NPg Best View,Number of heat pumps (total)
OATLANDS,154,166,198,286,413,563,634,663,691,719,747,775,804,870,1159,1470,1774,2063,2299,2500,2678,2936,3237,3539,3841,4143,4444,4745,4977,NPgN,Primary,NPg Best View,Number of heat pumps (total)
